inputs,targets
august 30 2009,2009-08-30
friday february 2 2001,2001-02-02
monday january 15 1979,1979-01-15
16 february 1987,1987-02-16
1 january 1996,1996-01-01
8/15/15,2015-08-15
september 30 1991,1991-09-30
sun 10 sep 1972,1972-09-10
29 august 2020,2020-08-29
5/30/74,1974-05-30
thursday 26 april 1973,1973-04-26
october 11 1972,1972-10-11
jun 3 1972,1972-06-03
jun 7 1978,1978-06-07
5/6/94,1994-05-06
january 27 1974,1974-01-27
aug 11 1978,1978-08-11
sunday 22 may 1988,1988-05-22
26 july 1995,1995-07-26
12 sep 1991,1991-09-12
jul 15 2015,2015-07-15
2/19/17,2017-02-19
8/27/19,2019-08-27
11 october 2004,2004-10-11
sun 8 feb 1987,1987-02-08
26 december 2018,2018-12-26
sunday 17 february 1980,1980-02-17
saturday 13 august 2011,2011-08-13
8/21/19,2019-08-21
july 1 1982,1982-07-01
07/09/1982,1982-09-07
12 september 1981,1981-09-12
29/03/2018,2018-03-29
tue 30 jan 2001,2001-01-30
wednesday 24 december 2003,2003-12-24
october 6 2007,2007-10-06
24/10/1993,1993-10-24
jun 11 1982,1982-06-11
sat 30 oct 1976,1976-10-30
november 6 2012,2012-11-06
4/6/09,2009-04-06
17 jul 1972,1972-07-17
4/13/04,2004-04-13
19/11/2005,2005-11-19
1 april 1991,1991-04-01
february 7 1972,1972-02-07
4 aug 1984,1984-08-04
21/09/1993,1993-09-21
monday may 2 2011,2011-05-02
wednesday january 22 1997,1997-01-22
jun 10 1977,1977-06-10
4/5/12,2012-04-05
mon 9 feb 1970,1970-02-09
thursday 19 august 1982,1982-08-19
august 4 2015,2015-08-04
4 oct 1983,1983-10-04
sunday april 30 1989,1989-04-30
17 oct 1997,1997-10-17
16/05/1971,1971-05-16
sep 7 2004,2004-09-07
may 8 1974,1974-05-08
11 jun 2011,2011-06-11
fri 24 jan 2003,2003-01-24
sat 26 jan 2019,2019-01-26
23/01/1981,1981-01-23
tuesday 14 july 1970,1970-07-14
3 september 1974,1974-09-03
nov 14 1984,1984-11-14
mar 30 2022,2022-03-30
25 aug 1993,1993-08-25
monday 7 september 1987,1987-09-07
tuesday november 12 2013,2013-11-12
27/03/2011,2011-03-27
thu 22 oct 2020,2020-10-22
21 mar 1983,1983-03-21
25 march 1992,1992-03-25
wednesday october 30 1991,1991-10-30
july 7 2018,2018-07-07
sunday 13 april 1986,1986-04-13
wednesday august 14 2019,2019-08-14
12/28/02,2002-12-28
25 november 1987,1987-11-25
tuesday june 24 1975,1975-06-24
25 dec 2018,2018-12-25
fri 18 apr 1997,1997-04-18
4 december 2016,2016-12-04
may 11 1980,1980-05-11
may 9 2016,2016-05-09
8 apr 1979,1979-04-08
may 6 2008,2008-05-06
1/10/16,2016-01-10
march 13 1987,1987-03-13
oct 12 1998,1998-10-12
12/28/01,2001-12-28
mon 13 jan 2003,2003-01-13
08/01/1999,1999-01-08
jul 21 1986,1986-07-21
february 28 1971,1971-02-28
1 august 1979,1979-08-01
thursday april 10 1986,1986-04-10
29 jan 2020,2020-01-29
11/13/93,1993-11-13
10/08/2019,2019-08-10
fri 28 feb 2003,2003-02-28
28 march 1986,1986-03-28
sunday 28 december 2003,2003-12-28
25 january 2006,2006-01-25
7/14/77,1977-07-14
mon 14 nov 1988,1988-11-14
31 december 2016,2016-12-31
nov 2 2017,2017-11-02
16 april 1970,1970-04-16
12/09/1994,1994-09-12
9/9/87,1987-09-09
5/31/81,1981-05-31
20 july 1986,1986-07-20
saturday 4 july 1998,1998-07-04
thursday 28 june 2018,2018-06-28
tuesday 20 may 1986,1986-05-20
sunday 1 february 1976,1976-02-01
19/06/2013,2013-06-19
27 jun 2015,2015-06-27
31 july 2011,2011-07-31
11/02/2017,2017-02-11
tuesday 25 december 1984,1984-12-25
10/11/2005,2005-11-10
24/03/2005,2005-03-24
20 sep 2006,2006-09-20
december 3 1996,1996-12-03
november 4 2021,2021-11-04
september 14 2021,2021-09-14
1/11/78,1978-01-11
1/28/75,1975-01-28
24 may 2010,2010-05-24
february 15 2021,2021-02-15
2 oct 1970,1970-10-02
18/04/1995,1995-04-18
sun 22 feb 2004,2004-02-22
wed 7 may 2014,2014-05-07
sat 7 jan 2012,2012-01-07
march 6 2013,2013-03-06
15/09/1986,1986-09-15
january 18 2006,2006-01-18
22 august 1974,1974-08-22
02/09/1986,1986-09-02
25 jun 2003,2003-06-25
apr 19 2019,2019-04-19
friday 26 january 1996,1996-01-26
jun 1 1987,1987-06-01
14 october 2005,2005-10-14
12 apr 2010,2010-04-12
03/04/1989,1989-04-03
3/17/07,2007-03-17
february 27 2022,2022-02-27
mar 10 2018,2018-03-10
may 23 1998,1998-05-23
21/08/2018,2018-08-21
april 17 1974,1974-04-17
sun 15 dec 2002,2002-12-15
september 25 2009,2009-09-25
jul 25 1994,1994-07-25
04/11/2016,2016-11-04
march 17 1982,1982-03-17
7/1/05,2005-07-01
16 sep 1980,1980-09-16
wednesday january 28 1981,1981-01-28
wednesday may 26 1993,1993-05-26
sunday february 3 1980,1980-02-03
20 jun 1993,1993-06-20
10 jul 1979,1979-07-10
3/22/20,2020-03-22
1/25/15,2015-01-25
saturday september 14 2002,2002-09-14
22/01/1972,1972-01-22
oct 6 1971,1971-10-06
2/14/09,2009-02-14
wednesday june 9 1999,1999-06-09
december 14 2001,2001-12-14
13 apr 1996,1996-04-13
15 september 1996,1996-09-15
tuesday 6 november 2012,2012-11-06
saturday 14 may 2016,2016-05-14
april 14 1988,1988-04-14
friday 22 july 1977,1977-07-22
10 mar 1991,1991-03-10
24/08/2010,2010-08-24
24 may 1979,1979-05-24
saturday march 28 1992,1992-03-28
october 27 2001,2001-10-27
sun 16 may 2004,2004-05-16
7/25/89,1989-07-25
24/09/2010,2010-09-24
wednesday april 13 2005,2005-04-13
6/12/06,2006-06-12
16/06/2009,2009-06-16
mon 12 nov 2018,2018-11-12
10 september 2020,2020-09-10
25 december 1988,1988-12-25
saturday 19 may 1990,1990-05-19
monday january 24 2000,2000-01-24
thursday july 5 2018,2018-07-05
19 december 1994,1994-12-19
april 10 2005,2005-04-10
sunday 9 april 1978,1978-04-09
1 august 1981,1981-08-01
jan 30 1984,1984-01-30
19 february 1985,1985-02-19
friday 11 july 2008,2008-07-11
20 january 2005,2005-01-20
oct 11 1977,1977-10-11
tuesday july 9 1985,1985-07-09
8/23/20,2020-08-23
25 mar 1990,1990-03-25
april 22 2022,2022-04-22
sep 13 2006,2006-09-13
friday 23 september 1983,1983-09-23
8/10/16,2016-08-10
tuesday october 23 1979,1979-10-23
friday june 1 1979,1979-06-01
16 oct 2016,2016-10-16
sunday 25 march 2001,2001-03-25
26 november 1993,1993-11-26
thursday january 20 1983,1983-01-20
thursday 2 june 2022,2022-06-02
fri 12 aug 1988,1988-08-12
saturday 13 june 1998,1998-06-13
july 23 1978,1978-07-23
27 jun 1987,1987-06-27
thu 30 mar 1978,1978-03-30
january 14 2007,2007-01-14
mon 9 sep 2002,2002-09-09
10 dec 2008,2008-12-10
november 22 1988,1988-11-22
thu 9 oct 1997,1997-10-09
mar 4 2005,2005-03-04
30 may 2008,2008-05-30
16 may 1991,1991-05-16
21 feb 2004,2004-02-21
march 6 1976,1976-03-06
mon 19 nov 1973,1973-11-19
9/1/94,1994-09-01
4/28/80,1980-04-28
february 3 1973,1973-02-03
29 jun 2021,2021-06-29
6/28/86,1986-06-28
26/08/2020,2020-08-26
thursday september 13 2007,2007-09-13
13 sep 1988,1988-09-13
apr 26 1987,1987-04-26
sat 28 mar 2009,2009-03-28
aug 23 2013,2013-08-23
19 jun 2021,2021-06-19
7/28/95,1995-07-28
23 february 1992,1992-02-23
nov 21 1991,1991-11-21
october 21 2006,2006-10-21
19 january 2019,2019-01-19
31 oct 2007,2007-10-31
2/8/89,1989-02-08
24/11/2019,2019-11-24
1/10/79,1979-01-10
feb 27 1982,1982-02-27
saturday december 24 1977,1977-12-24
2/25/75,1975-02-25
monday 28 march 1994,1994-03-28
sep 15 2012,2012-09-15
tue 20 jul 1976,1976-07-20
april 10 2015,2015-04-10
8 aug 1993,1993-08-08
24/08/2003,2003-08-24
saturday 19 september 2020,2020-09-19
november 22 1978,1978-11-22
19/08/2000,2000-08-19
monday 23 may 2022,2022-05-23
aug 2 2003,2003-08-02
saturday may 25 1991,1991-05-25
sep 18 2009,2009-09-18
10/27/09,2009-10-27
23 october 2014,2014-10-23
28 sep 2015,2015-09-28
5/2/78,1978-05-02
11 aug 1977,1977-08-11
monday october 25 2010,2010-10-25
saturday february 9 2019,2019-02-09
tuesday december 1 1981,1981-12-01
september 19 1992,1992-09-19
tuesday 16 january 2007,2007-01-16
5 august 2016,2016-08-05
02/08/1985,1985-08-02
31 dec 2020,2020-12-31
sun 14 may 1972,1972-05-14
6/7/86,1986-06-07
tuesday 15 september 2009,2009-09-15
27/07/2014,2014-07-27
12 feb 2006,2006-02-12
saturday 8 november 1975,1975-11-08
august 4 1993,1993-08-04
27/09/2001,2001-09-27
sunday 3 october 2021,2021-10-03
february 19 2007,2007-02-19
03/10/2017,2017-10-03
jul 25 1973,1973-07-25
thursday march 30 1995,1995-03-30
11 april 2012,2012-04-11
20 aug 2001,2001-08-20
13 november 2019,2019-11-13
12/12/2017,2017-12-12
2/5/97,1997-02-05
23/06/1996,1996-06-23
april 10 1978,1978-04-10
17 january 2004,2004-01-17
13 november 1972,1972-11-13
4/20/08,2008-04-20
monday 6 february 2017,2017-02-06
november 18 2007,2007-11-18
march 8 2018,2018-03-08
july 2 2022,2022-07-02
26 august 1970,1970-08-26
8 september 2021,2021-09-08
saturday january 3 2009,2009-01-03
28 october 2011,2011-10-28
may 30 1986,1986-05-30
14/06/1972,1972-06-14
tuesday 12 november 2013,2013-11-12
friday may 29 1998,1998-05-29
november 29 1979,1979-11-29
9/6/01,2001-09-06
2/27/22,2022-02-27
8/25/86,1986-08-25
dec 13 1978,1978-12-13
13/02/1998,1998-02-13
jun 21 1982,1982-06-21
apr 21 2002,2002-04-21
02/09/2017,2017-09-02
march 5 1989,1989-03-05
thu 4 mar 2004,2004-03-04
sat 30 mar 1996,1996-03-30
july 2 1980,1980-07-02
february 20 2016,2016-02-20
tuesday 22 june 1999,1999-06-22
august 20 2021,2021-08-20
09/02/1988,1988-02-09
tue 24 mar 1981,1981-03-24
25/12/1984,1984-12-25
1/19/81,1981-01-19
tuesday june 2 1992,1992-06-02
august 26 2020,2020-08-26
wednesday 22 march 1995,1995-03-22
tuesday march 24 1998,1998-03-24
11/26/89,1989-11-26
mon 31 jan 2005,2005-01-31
20 aug 1980,1980-08-20
wednesday june 6 1973,1973-06-06
10/10/1985,1985-10-10
november 1 1993,1993-11-01
30/03/1995,1995-03-30
21 apr 2015,2015-04-21
13 oct 1985,1985-10-13
4 may 1985,1985-05-04
28/02/1978,1978-02-28
tue 16 jun 1998,1998-06-16
12 may 1987,1987-05-12
february 8 1974,1974-02-08
8 jan 1981,1981-01-08
12/21/76,1976-12-21
saturday december 5 1987,1987-12-05
sat 24 jun 2017,2017-06-24
28/03/2021,2021-03-28
monday march 20 2017,2017-03-20
1/6/84,1984-01-06
10 june 2022,2022-06-10
friday june 5 1970,1970-06-05
friday 22 march 1991,1991-03-22
14/06/1976,1976-06-14
05/10/2011,2011-10-05
july 10 2020,2020-07-10
1/5/19,2019-01-05
8/3/02,2002-08-03
4 dec 1994,1994-12-04
13 october 1986,1986-10-13
30 jul 1979,1979-07-30
november 17 1975,1975-11-17
9/10/13,2013-09-10
december 11 1989,1989-12-11
may 23 1983,1983-05-23
wed 12 aug 2009,2009-08-12
monday july 15 2013,2013-07-15
06/10/2007,2007-10-06
thursday december 6 2007,2007-12-06
monday january 14 2019,2019-01-14
mar 20 2018,2018-03-20
7/26/81,1981-07-26
tuesday 12 december 1978,1978-12-12
7/28/93,1993-07-28
24 aug 1997,1997-08-24
15 oct 2012,2012-10-15
24 mar 2006,2006-03-24
friday september 29 2006,2006-09-29
thursday 5 january 1984,1984-01-05
january 8 1988,1988-01-08
6/9/82,1982-06-09
6 jun 2020,2020-06-06
thu 25 jul 1991,1991-07-25
9 january 1994,1994-01-09
apr 27 1991,1991-04-27
9/5/91,1991-09-05
sunday 23 january 1994,1994-01-23
mon 17 may 1993,1993-05-17
27/11/1991,1991-11-27
monday 2 july 1990,1990-07-02
11 october 1982,1982-10-11
14/09/2004,2004-09-14
may 10 1989,1989-05-10
4/24/02,2002-04-24
dec 25 2019,2019-12-25
11/22/89,1989-11-22
3 april 2021,2021-04-03
1/8/20,2020-01-08
9 jun 2005,2005-06-09
october 7 1989,1989-10-07
6 feb 2017,2017-02-06
january 20 2012,2012-01-20
thursday 25 december 1975,1975-12-25
20 may 2000,2000-05-20
6/3/98,1998-06-03
30 may 1975,1975-05-30
01/10/1978,1978-10-01
15 aug 1982,1982-08-15
11/01/1997,1997-01-11
friday february 26 2016,2016-02-26
15 march 1990,1990-03-15
30/09/1995,1995-09-30
19 april 2004,2004-04-19
06/12/1982,1982-12-06
tue 7 nov 2017,2017-11-07
february 13 2009,2009-02-13
mon 25 aug 1980,1980-08-25
5/7/01,2001-05-07
friday september 22 2017,2017-09-22
tuesday august 29 1995,1995-08-29
11/16/04,2004-11-16
07/10/1986,1986-10-07
jul 30 2016,2016-07-30
friday january 15 2016,2016-01-15
tue 4 aug 2009,2009-08-04
december 23 1998,1998-12-23
november 27 2008,2008-11-27
march 12 2003,2003-03-12
26/02/1972,1972-02-26
jan 31 2008,2008-01-31
02/11/1994,1994-11-02
wednesday 21 may 1975,1975-05-21
saturday december 12 1992,1992-12-12
monday november 14 1994,1994-11-14
july 20 1998,1998-07-20
sun 18 may 1975,1975-05-18
monday september 10 2007,2007-09-10
sunday august 18 2013,2013-08-18
october 30 1975,1975-10-30
11/15/03,2003-11-15
tue 28 aug 2018,2018-08-28
sat 3 may 2008,2008-05-03
sun 7 aug 1977,1977-08-07
27/08/2005,2005-08-27
saturday 5 april 2014,2014-04-05
8 february 2016,2016-02-08
thursday 12 july 1990,1990-07-12
11 may 1983,1983-05-11
08/03/1984,1984-03-08
18 dec 2021,2021-12-18
wed 24 may 1995,1995-05-24
wednesday 3 january 1973,1973-01-03
december 3 1985,1985-12-03
wednesday 11 january 1995,1995-01-11
23 february 2004,2004-02-23
sep 21 2005,2005-09-21
thu 12 apr 1990,1990-04-12
mon 15 apr 1985,1985-04-15
friday september 3 1976,1976-09-03
11 feb 2011,2011-02-11
mar 24 1980,1980-03-24
25 november 1999,1999-11-25
sunday 22 october 1989,1989-10-22
may 20 2022,2022-05-20
september 13 1987,1987-09-13
july 1 1995,1995-07-01
11/10/16,2016-11-10
18 august 2009,2009-08-18
mar 22 1973,1973-03-22
monday april 1 2002,2002-04-01
thu 16 apr 2009,2009-04-16
april 6 1984,1984-04-06
9 september 1989,1989-09-09
7/10/76,1976-07-10
august 13 2002,2002-08-13
sun 26 apr 2015,2015-04-26
17 aug 1986,1986-08-17
11/27/21,2021-11-27
monday september 20 1993,1993-09-20
15/09/2011,2011-09-15
thursday june 23 2016,2016-06-23
20 july 1977,1977-07-20
7 oct 1994,1994-10-07
august 30 1985,1985-08-30
september 22 2003,2003-09-22
tuesday 11 march 1975,1975-03-11
sep 27 2001,2001-09-27
25 jan 1994,1994-01-25
4/24/71,1971-04-24
4/5/81,1981-04-05
june 30 2012,2012-06-30
jun 13 1977,1977-06-13
19 feb 1985,1985-02-19
saturday 22 november 2008,2008-11-22
3/4/80,1980-03-04
december 7 2004,2004-12-07
7 aug 1972,1972-08-07
monday september 13 2021,2021-09-13
1 jun 2002,2002-06-01
30/11/1991,1991-11-30
14 october 2013,2013-10-14
14/09/1980,1980-09-14
12 august 2008,2008-08-12
feb 7 2018,2018-02-07
4/24/21,2021-04-24
13 july 1974,1974-07-13
2/2/98,1998-02-02
17/05/2006,2006-05-17
sat 12 sep 1992,1992-09-12
wednesday 4 april 1979,1979-04-04
wednesday 4 may 1977,1977-05-04
15 oct 2006,2006-10-15
19/12/2010,2010-12-19
sunday 4 october 1987,1987-10-04
wednesday february 29 1984,1984-02-29
thursday august 29 1996,1996-08-29
friday february 5 2010,2010-02-05
nov 8 2013,2013-11-08
thursday 5 august 2021,2021-08-05
monday june 15 2020,2020-06-15
mar 6 2017,2017-03-06
2/20/92,1992-02-20
6/19/93,1993-06-19
9/21/88,1988-09-21
wednesday 31 december 2015,2014-12-31
wed 15 jul 1970,1970-07-15
17 dec 2014,2014-12-17
feb 7 2000,2000-02-07
jul 12 2005,2005-07-12
mon 24 mar 1986,1986-03-24
thu 10 sep 1992,1992-09-10
6/21/92,1992-06-21
monday april 9 1984,1984-04-09
20 april 2022,2022-04-20
wed 8 apr 2009,2009-04-08
tuesday 9 july 2002,2002-07-09
monday 28 december 1970,1970-12-28
15/12/2018,2018-12-15
fri 15 feb 1991,1991-02-15
28 june 1993,1993-06-28
january 21 2002,2002-01-21
sat 17 jul 1993,1993-07-17
nov 16 1999,1999-11-16
saturday 27 may 2017,2017-05-27
9 march 2014,2014-03-09
aug 4 1989,1989-08-04
sunday july 4 1999,1999-07-04
4/22/75,1975-04-22
fri 10 aug 1984,1984-08-10
8 jan 1973,1973-01-08
aug 26 1972,1972-08-26
monday june 23 2003,2003-06-23
3/20/86,1986-03-20
11/4/92,1992-11-04
sep 25 2016,2016-09-25
apr 15 1986,1986-04-15
friday april 22 1994,1994-04-22
fri 11 dec 1987,1987-12-11
23 apr 1988,1988-04-23
22 jul 2005,2005-07-22
20/06/1999,1999-06-20
27 february 1995,1995-02-27
nov 5 2001,2001-11-05
monday 18 july 1983,1983-07-18
6 dec 2003,2003-12-06
sat 6 dec 1980,1980-12-06
3/9/91,1991-03-09
30 jun 2013,2013-06-30
saturday 24 february 2001,2001-02-24
wednesday february 22 1989,1989-02-22
november 8 1988,1988-11-08
saturday 29 december 2007,2007-12-29
tue 11 aug 1998,1998-08-11
24 november 2011,2011-11-24
saturday may 25 2013,2013-05-25
17 november 2004,2004-11-17
february 10 1994,1994-02-10
4/26/94,1994-04-26
18 january 1983,1983-01-18
7/4/93,1993-07-04
saturday 10 august 1985,1985-08-10
20 mar 1972,1972-03-20
sat 23 feb 1974,1974-02-23
14/06/2003,2003-06-14
monday 17 march 1997,1997-03-17
6/4/89,1989-06-04
friday 31 july 2009,2009-07-31
may 20 1994,1994-05-20
21/11/2002,2002-11-21
10 feb 2010,2010-02-10
jun 26 1992,1992-06-26
monday 30 november 1998,1998-11-30
thursday 5 may 1994,1994-05-05
8/21/78,1978-08-21
10 july 1972,1972-07-10
oct 10 1974,1974-10-10
december 15 1998,1998-12-15
saturday 29 may 2010,2010-05-29
thursday 30 december 2004,2004-12-30
04/06/2013,2013-06-04
sat 23 may 1987,1987-05-23
5/21/81,1981-05-21
8/6/95,1995-08-06
march 22 2000,2000-03-22
3 july 1976,1976-07-03
sun 14 feb 1999,1999-02-14
5 jun 1990,1990-06-05
13 may 1984,1984-05-13
wednesday august 14 1974,1974-08-14
tuesday 28 november 1995,1995-11-28
saturday august 16 2008,2008-08-16
friday 22 july 1994,1994-07-22
fri 8 sep 2006,2006-09-08
tue 2 jan 2018,2018-01-02
tue 28 nov 2006,2006-11-28
saturday april 13 1991,1991-04-13
sat 28 feb 1976,1976-02-28
07/12/2017,2017-12-07
january 21 1997,1997-01-21
thursday 21 january 2021,2021-01-21
5/17/01,2001-05-17
march 20 2008,2008-03-20
dec 23 2012,2012-12-23
7/25/04,2004-07-25
sunday august 30 2009,2009-08-30
august 2 1974,1974-08-02
friday 28 october 2011,2011-10-28
monday february 10 1992,1992-02-10
16 nov 1999,1999-11-16
05/01/1981,1981-01-05
friday 18 august 1995,1995-08-18
december 3 2021,2021-12-03
18 july 2022,2022-07-18
mar 31 2003,2003-03-31
16/12/1987,1987-12-16
wednesday 30 june 1976,1976-06-30
28 nov 1987,1987-11-28
may 4 1988,1988-05-04
may 7 2008,2008-05-07
10/29/02,2002-10-29
wednesday 5 october 2011,2011-10-05
may 30 2003,2003-05-30
mon 11 mar 1991,1991-03-11
thursday october 12 2017,2017-10-12
28 june 2019,2019-06-28
december 19 2004,2004-12-19
monday july 14 1975,1975-07-14
friday 25 february 2022,2022-02-25
14 may 1984,1984-05-14
jul 17 1991,1991-07-17
mar 22 1973,1973-03-22
9/19/00,2000-09-19
19 june 1997,1997-06-19
saturday 31 january 2015,2015-01-31
thu 22 may 1980,1980-05-22
oct 10 2007,2007-10-10
jul 12 1982,1982-07-12
14 october 2014,2014-10-14
june 2 2001,2001-06-02
september 16 1998,1998-09-16
saturday 30 september 2006,2006-09-30
29 jan 2014,2014-01-29
31 oct 1999,1999-10-31
18 june 2022,2022-06-18
16 january 1978,1978-01-16
thu 11 may 2006,2006-05-11
september 30 1996,1996-09-30
oct 2 1996,1996-10-02
aug 22 2015,2015-08-22
16 jan 2011,2011-01-16
6/15/92,1992-06-15
friday 23 may 1975,1975-05-23
1 august 1977,1977-08-01
monday 12 september 2005,2005-09-12
may 21 2016,2016-05-21
may 22 2007,2007-05-22
november 20 1993,1993-11-20
october 2 2011,2011-10-02
06/03/1971,1971-03-06
thu 3 aug 1995,1995-08-03
17/01/1971,1971-01-17
august 24 2014,2014-08-24
3/18/18,2018-03-18
15 august 1979,1979-08-15
february 11 1984,1984-02-11
july 4 2020,2020-07-04
21/07/1971,1971-07-21
21/04/2004,2004-04-21
nov 4 1997,1997-11-04
6/30/92,1992-06-30
mar 18 1982,1982-03-18
sun 17 jul 2005,2005-07-17
31 may 2010,2010-05-31
sunday january 3 1971,1971-01-03
14 jan 2013,2013-01-14
february 20 1975,1975-02-20
22/08/2012,2012-08-22
monday august 4 1986,1986-08-04
may 21 2003,2003-05-21
mon 24 dec 1984,1984-12-24
november 8 1984,1984-11-08
sun 22 mar 2020,2020-03-22
6 august 1975,1975-08-06
thursday 17 september 2015,2015-09-17
dec 14 1998,1998-12-14
18 jul 2013,2013-07-18
10 jun 2015,2015-06-10
september 17 2003,2003-09-17
27 jul 1988,1988-07-27
thu 5 oct 2006,2006-10-05
7/8/14,2014-07-08
28/03/2020,2020-03-28
tuesday august 2 1988,1988-08-02
november 15 2012,2012-11-15
sunday 31 january 1988,1988-01-31
6 november 1981,1981-11-06
mon 13 feb 1984,1984-02-13
november 15 2004,2004-11-15
wed 22 apr 1998,1998-04-22
may 26 1981,1981-05-26
april 16 2021,2021-04-16
mar 20 2002,2002-03-20
wed 22 may 2013,2013-05-22
10 jun 2008,2008-06-10
25 may 1980,1980-05-25
4 mar 1995,1995-03-04
fri 27 jul 2012,2012-07-27
sunday 27 december 2009,2009-12-27
tuesday july 1 2008,2008-07-01
wednesday february 9 2000,2000-02-09
7/26/21,2021-07-26
feb 1 1977,1977-02-01
wednesday september 11 2013,2013-09-11
31/01/2006,2006-01-31
wednesday february 16 2011,2011-02-16
12 january 1974,1974-01-12
january 5 1986,1986-01-05
9/11/02,2002-09-11
feb 16 2003,2003-02-16
sun 8 dec 1996,1996-12-08
mon 25 sep 1989,1989-09-25
tuesday 17 october 1978,1978-10-17
sat 9 feb 2002,2002-02-09
june 24 1996,1996-06-24
apr 18 1992,1992-04-18
tuesday 15 july 1986,1986-07-15
02/07/1979,1979-07-02
12/10/2004,2004-10-12
tue 7 jan 2003,2003-01-07
march 15 1990,1990-03-15
7 sep 1978,1978-09-07
apr 13 1984,1984-04-13
1/13/82,1982-01-13
february 24 1979,1979-02-24
1/2/72,1972-01-02
december 4 2002,2002-12-04
10/15/14,2014-10-15
10 may 1981,1981-05-10
sunday august 18 2019,2019-08-18
03/06/2021,2021-06-03
02/01/1999,2000-01-02
21 august 2012,2012-08-21
monday september 11 1978,1978-09-11
27 jun 2011,2011-06-27
march 1 2011,2011-03-01
friday january 11 1985,1985-01-11
thursday november 21 2019,2019-11-21
april 22 1989,1989-04-22
30 sep 2012,2012-09-30
14 jun 2014,2014-06-14
13 feb 1981,1981-02-13
8/24/06,2006-08-24
mon 14 oct 1996,1996-10-14
13 may 2021,2021-05-13
thursday 19 february 2004,2004-02-19
wednesday august 11 2010,2010-08-11
sun 18 aug 1996,1996-08-18
monday 21 february 2011,2011-02-21
mon 21 jan 2013,2013-01-21
8/30/09,2009-08-30
11/7/83,1983-11-07
4/19/91,1991-04-19
21/11/1998,1998-11-21
jan 19 1983,1983-01-19
feb 25 1992,1992-02-25
14/06/1996,1996-06-14
12 july 2001,2001-07-12
october 11 1981,1981-10-11
thursday 7 july 2005,2005-07-07
jan 4 2014,2014-01-04
20/07/1982,1982-07-20
sunday november 11 1973,1973-11-11
10 october 1979,1979-10-10
dec 22 2013,2013-12-22
wednesday april 3 2019,2019-04-03
november 16 1999,1999-11-16
15 april 1990,1990-04-15
wednesday 18 april 2012,2012-04-18
23/02/2013,2013-02-23
thu 7 dec 2000,2000-12-07
sun 7 oct 2012,2012-10-07
10/22/89,1989-10-22
feb 12 2006,2006-02-12
27 oct 2007,2007-10-27
18/08/1984,1984-08-18
fri 7 aug 1992,1992-08-07
8 jan 2016,2016-01-08
thursday september 10 1981,1981-09-10
22 october 1993,1993-10-22
friday 10 october 1997,1997-10-10
friday 3 october 2008,2008-10-03
12/28/91,1991-12-28
29 oct 1993,1993-10-29
07/01/1996,1996-01-07
may 31 1977,1977-05-31
sunday february 24 1985,1985-02-24
04/07/2010,2010-07-04
wednesday 21 december 2016,2016-12-21
thu 9 mar 1972,1972-03-09
thu 5 aug 2010,2010-08-05
8/8/95,1995-08-08
sunday december 26 2004,2004-12-26
11/4/07,2007-11-04
thu 25 dec 1986,1986-12-25
tue 23 oct 2012,2012-10-23
apr 10 1972,1972-04-10
aug 26 2018,2018-08-26
march 29 1977,1977-03-29
25/10/2005,2005-10-25
14 feb 1993,1993-02-14
10 august 1977,1977-08-10
sun 9 may 2004,2004-05-09
oct 13 2005,2005-10-13
5 february 1976,1976-02-05
friday july 18 1997,1997-07-18
4/24/76,1976-04-24
18 february 1992,1992-02-18
fri 16 apr 2021,2021-04-16
9/17/81,1981-09-17
sunday 1 october 1989,1989-10-01
oct 15 2007,2007-10-15
sat 7 sep 1991,1991-09-07
friday march 2 1984,1984-03-02
1/27/17,2017-01-27
tuesday 17 december 1991,1991-12-17
friday december 3 1999,1999-12-03
1/23/83,1983-01-23
jun 24 2001,2001-06-24
24 may 2005,2005-05-24
saturday january 26 2002,2002-01-26
monday 4 october 2004,2004-10-04
friday february 9 1973,1973-02-09
12/26/13,2013-12-26
23/09/2017,2017-09-23
sun 2 oct 2016,2016-10-02
wed 4 nov 2009,2009-11-04
6/27/00,2000-06-27
saturday 6 august 2005,2005-08-06
03/06/1978,1978-06-03
19 jan 1976,1976-01-19
february 21 1983,1983-02-21
sunday march 16 1997,1997-03-16
27 february 1992,1992-02-27
9/28/86,1986-09-28
tuesday july 12 1977,1977-07-12
sun 27 feb 2000,2000-02-27
march 30 2004,2004-03-30
may 12 1978,1978-05-12
december 28 1988,1988-12-28
3/2/87,1987-03-02
2/12/74,1974-02-12
23 december 2021,2021-12-23
thursday december 19 2019,2019-12-19
22/02/2006,2006-02-22
tuesday march 24 2009,2009-03-24
27 july 2006,2006-07-27
sun 23 aug 1981,1981-08-23
monday 30 october 2017,2017-10-30
13 september 1998,1998-09-13
13 december 2009,2009-12-13
7/3/85,1985-07-03
mon 14 jan 1974,1974-01-14
30 march 1975,1975-03-30
8/12/09,2009-08-12
10/10/85,1985-10-10
monday april 12 1976,1976-04-12
9 march 2022,2022-03-09
jan 14 1994,1994-01-14
13 december 2001,2001-12-13
25 january 1993,1993-01-25
april 25 2009,2009-04-25
28 nov 1975,1975-11-28
sunday 16 may 1999,1999-05-16
29 november 2020,2020-11-29
sun 26 sep 1993,1993-09-26
8 september 2020,2020-09-08
oct 1 2005,2005-10-01
31 october 1974,1974-10-31
